event_id,weeks,req_room_type,size,L_slots,assigned_day,assigned_start_hour,room_id,room_campus,week
E:UT6G7X3OP4,"30, 35",No room required,110,1,Monday,9,,,35
E:UT6G7X3OP4,"30, 35",No room required,110,1,Monday,9,,,30
E:PBN4HWXNCM,"11, 12",General Teaching,16,1,Wednesday,9,0219_00_G.01,Central,11
E:PBN4HWXNCM,"11, 12",General Teaching,16,1,Wednesday,9,0219_00_G.01,Central,12
E:LLUGMC74NW,"27, 28",Computer Laboratory,44,1,Thursday,17,0226_01_1.12,Central,27
E:LLUGMC74NW,"27, 28",Computer Laboratory,44,1,Thursday,17,0226_01_1.12,Central,28
E:213A2XHFEF,"11, 12",General Teaching,15,1,Tuesday,16,0228_11_11.11,Central,11
E:213A2XHFEF,"11, 12",General Teaching,15,1,Tuesday,16,0113_00_G.12,Central,12
E:RX3NIHR3CK,"30, 36",General Teaching,40,1,Monday,17,0112_-1_B.02,Central,36
E:RX3NIHR3CK,"30, 36",General Teaching,40,1,Monday,17,0113_01_1.416,Central,30
E:PUKV4YAZX1,"27, 28",Computer Laboratory,44,1,Monday,11,0226_01_1.12,Central,27
E:PUKV4YAZX1,"27, 28",Computer Laboratory,44,1,Monday,11,0226_01_1.12,Central,28
E:9XRFIEIQBN,"9, 10",General Teaching,60,1,Wednesday,14,0335_04_4.3,Central,9
E:9XRFIEIQBN,"9, 10",General Teaching,60,1,Wednesday,14,0551_01_1.26,Holyrood,10
E:R6JACKRMI5,"26, 27",General Teaching,85,2,Tuesday,9,0616_00_00.01-E,Kings Buildings,26
E:R6JACKRMI5,"26, 27",General Teaching,85,2,Tuesday,9,0616_00_00.01-E,Kings Buildings,27
E:YY8JHPSFFH,"28, 29",General Teaching,18,1,Friday,13,0214_01_1.10,Central,28
E:YY8JHPSFFH,"28, 29",General Teaching,18,1,Friday,13,0214_01_1.10,Central,29
E:FNUTTSUPRL,"11, 12",General Teaching,16,1,Wednesday,9,0254_01_1.08,Central,11
E:FNUTTSUPRL,"11, 12",General Teaching,16,1,Wednesday,9,0254_01_1.08,Central,12
