event_id,weeks,req_room_type,size,L_slots,assigned_day,assigned_start_hour,room_id,room_campus
E:SJ99BFRVK6,"9, 10",General Teaching,200,1,Tuesday,16,,
E:AJBQOXCXGY,"28, 29",General Teaching,15,1,Monday,14,,
E:7R3J7Y6884,"35, 36",General Teaching,8,2,Monday,9,,
E:8IXVZ44MDV,"9, 10",General Teaching,100,1,Tuesday,9,,
E:WZ68ESBPTB,"9, 10",General Teaching,33,2,Monday,12,,
E:15MNFJOF3A,"11, 13",General Teaching,12,2,Wednesday,10,,
E:5CTL5J4JIF,"10, 11",General Teaching,60,1,Wednesday,12,,
E:4DNDEXGRHX,"12, 17",Computer Laboratory,20,2,Monday,12,,
E:NWB3WXQO7X,"35, 36",General Teaching,8,2,Monday,9,,
E:O3MNQTMIND,"10, 11",General Teaching,25,1,Wednesday,16,,
E:QAJ5S1M5Z1,"28, 29",General Teaching,22,1,Wednesday,9,,
E:B8LNTGG6SH,"9, 10",General Teaching,40,2,Monday,12,,
E:PV31D19WPM,"26, 27",General Teaching,40,2,Friday,16,,
E:UAXLJTIG8Y,"28, 29",General Teaching,40,2,Thursday,12,,
E:V5LOMFK4JG,"11, 17",Computer Laboratory,44,1,Friday,16,,
E:AK1HG4HEM9,"26, 27",General Teaching,200,1,Monday,9,,
E:TH9CZCCEKY,"9, 10",General Teaching,65,2,Monday,12,,
E:LE2O5GMWN9,"9, 10",General Teaching,40,2,Monday,12,,
